num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	0.00	84.29	84.656587	16.214145
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	0.00	84.29	84.656587	16.214145
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	0.00	84.29	84.656587	16.214145
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	0.00	84.29	84.656587	16.214145
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	0.00	84.29	84.656587	16.214145
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	0.00	84.29	84.656587	16.214145
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	2.0e+001	13.16	99.00	0.00	0.00	87.251104	18.442131
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	99.00	0.00	0.00	87.251104	18.442131
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	99.00	0.00	0.00	83.786302	18.442131
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	99.00	0.00	0.00	-1.#IND00	-1.#IND00
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	99.00	0.00	0.00	87.958114	18.874821
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	99.00	0.00	0.00	49.833594	3145.755433
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	99.00	0.00	0.00	27.169474	32333.910362
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	99.00	0.00	0.00	27.094145	113365.947803
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	99.00	0.00	0.00	27.083976	130262.834215
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	99.00	0.00	0.00	27.078801	292790.664641
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	0.00	84.29	31.489970	335277.283412
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	9.41	0.00	0.00	84.29	23.055344	181637.898611
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	0.00	84.29	31.489970	335277.283412
