num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	99.29	0.00	24.460238	36580.850480
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	99.29	0.00	13.740215	37564.496971
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	99.29	0.00	13.729925	52403.345230
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	99.29	0.00	28.605176	134052.876778
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	9.41	99.00	0.00	0.00	14.497163	139825.358008
num	M	a1	lambda	e_eff	x0	x1	x2	Shj	time
21	41	0.0	1.0e+002	13.16	0.00	99.29	0.00	28.605176	134052.876778
